,IdeNucleoCEG,NomUsina,NomEmpresa,NomBarramento,DscTipo,DscNivelSegurancaBarragem,IdcClassificacaoBarragens,DscCategoriaRiscoGeral,DscDanoPotencialGeral,DscVersao,NomCampanha,DatInicioCampanha,DatFimCampanha,DatInicioPrazoLegalCampanha,DatFimPrazoLegalCampanha,NomSecundario,DatConclusaoConstrucao,MdaAlturaMacicoTerreno,MdaAlturaMacicoFundacao,MdaComprimento,NumBarramento,DscExisteAcidenteIncidente,QtdAcidenteIncidente,DthCadastro,DthEnvio,DscEnvioPrazoLegal,NomRioEmpreendimento,MdaCapacidadeTotalEmp,DatPrimeiroEnchimento,DscFaseVidaEmpreendimento,QtdBarramentoEmpreendimento,MdaAreaSuperficieReservatorio,NumCnpj,MdaPotenciaImplantacao,PctParticipacaoEmpreendimento,CodCEG,NomFonteEnergia,SigEstadoUsina,DscFaseUsina,DscTipoGeracao,DscTipoFundacao,DscTipoConstrucaoBarragem,DscEstimativaVazaoProjeto,DscCasaForca,DscComprimento,DscIdadeBarragem,DscAltura,DscExisteDeformacao,DscCondicaoEclusa,DscCondicaoDeterioracao,DscPercolacao,DscConfEstruturasAducao,DscConfEstruturaExtravasora,DscExisteDocumentacaoProjeto,DscPossuiTecnicoEstrutura,DscPossuiInspecaoMonitoramento,DscRegraOperDispositivo,DscEmiteRelatorio,DscTamanhoVolumeReservatorio,DscProbabilidadeMorte,DscImpactoAmbiental,DscImpactoSocioEconomico,DscPSBElaborado,DatConclusaoPSB,DscPAEElaborado,DatConclusaoPAE,DscISRRealizada,DatConclusaoISR,DscISERealizada,QtdMunicipioAfetado,MdaVazaoVertedouro,MdaCotaCoroamentoBarramento,NomTipoEstrutural,DscTipoEstrutural,DscEstudoRompimento,DscEnquadraResolucao
0,12.0,14 de Julho ,Companhia energética rio das antas,14 de Julho,Barragem,Normal,B,Baixo,Alto,Versão 1,Campanha 2016/1,2016-11-01,2017-01-31,2016-11-01,2017-01-31,,2008-10-15,,42.0,395.0,1,Não,0,2019-01-11 07:32:57,2017-01-31 00:00:00,Enviado Dentro do Prazo Legal,Rio das antas,92.32,2008-10-25,Operação,1,0.0,4237975000199.0,100000.0,100.0,UHE.PH.RS.000012-4.01,Hidrelétrica,RS,Operação,Usina Hidrelétrica,Rocha Sã,Alvenaria de Pedra,(Cheia Máxima Provável) ou Decamilenar,"Casa de força associada à barragem por meio de conduto forçado, túnel, etc",Comprimento > 200m,entre 5 e 10 anos,30m = Altura = 60m,Inexistente,Não possui eclusa,Inexistente,Percolação totalmente controlada pelo sistema de drenagem,Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento,Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos,"Projeto executivo e ""como construído",Possui estrutura organizacional com técnico responsável pela segurança da barragem,Possui e aplica procedimentos de inspeção e monitoramento,Sim ou Vertedouro tipo soleira livre,Emite regularmente os relatórios,Grande,Inexistente ,"S - significativo (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais)",Inexistente ( não existem quaisquer instalações e serviços de navegação na área afetada por acidente da barragem),Não,1900-01-01,Não elaborado,1900-01-01,Não,1900-01-01,Não,0,,,Sem Informação,Sem Informação,,Sim
1,324.0,Bugres,Companhia estadual de geração de energia elétrica - ceee-g,Divisa,Barragem,Normal,C,Baixo,Baixo,Versão 1,Campanha 2016/1,2016-11-01,2017-01-31,2016-11-01,2017-01-31,,1960-08-01,,27.5,239.0,3,Não,0,2019-01-11 08:03:23,2017-01-31 00:00:00,Enviado Dentro do Prazo Legal,Divisa,11.4,1960-08-01,Operação,3,0.0,39881421000104.0,17620.0,100.0,UHE.PH.RS.000324-7.01,Hidrelétrica,RS,Operação,Usina Hidrelétrica,Rocha alterada dura com tratamento,Alvenaria de Pedra,(Cheia Máxima Provável) ou Decamilenar,Barragem/Dique sem Casa de Força associada,Comprimento > 200m,< 5 ou > 50 anos ou sem,15m < Altura < 30m,Existência de trincas e abatimentos  de pequena extensão e impacto nulo,Não possui eclusa,"Falhas na proteção dos taludes e paramentos, presença de arbustos de pequena extensão e impacto nulo","Umidade ou surgência nas áreas de jusante, paramentos, taludes ou ombreiras estabilizadas e/o monitoradas",Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento,Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos,Projeto básico,Possui estrutura organizacional com técnico responsável pela segurança da barragem,Possui e aplica apenas procedimentos  de inspeção,Sim ou Vertedouro tipo soleira livre,Emite regularmente os relatórios,Médio,Pouco frequente ,"S - significativo (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais)",Inexistente ( não existem quaisquer instalações e serviços de navegação na área afetada por acidente da barragem),Não,1900-01-01,Não elaborado,1900-01-01,Não,1900-01-01,Não,0,,,Sem Informação,Sem Informação,,Sim
2,324.0,Bugres,Companhia estadual de geração de energia elétrica - ceee-g,Blang,Barragem,Normal,B,Baixo,Alto,Versão 1,Campanha 2016/1,2016-11-01,2017-01-31,2016-11-01,2017-01-31,,1956-02-01,,19.3,507.0,3,Não,0,2019-01-11 08:03:23,2017-01-31 00:00:00,Enviado Dentro do Prazo Legal,Divisa,11.4,1960-08-01,Operação,3,0.0,39881421000104.0,17620.0,100.0,UHE.PH.RS.000324-7.01,Hidrelétrica,RS,Operação,Usina Hidrelétrica,Rocha alterada sem tratramento / Rocha alterada fraturada com tratamento,Alvenaria de Pedra,(Cheia Máxima Provável) ou Decamilenar,Barragem/Dique sem Casa de Força associada,Comprimento > 200m,< 5 ou > 50 anos ou sem,15m < Altura < 30m,Existência de trincas e abatimentos  de pequena extensão e impacto nulo,Não possui eclusa,Inexistente,"Umidade ou surgência nas áreas de jusante, paramentos, taludes ou ombreiras estabilizadas e/o monitoradas",Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento,Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos,Projeto básico,Possui estrutura organizacional com técnico responsável pela segurança da barragem,Possui e aplica apenas procedimentos  de inspeção,Sim ou Vertedouro tipo soleira livre,Emite regularmente os relatórios,Médio,Pouco frequente ,"S - significativo (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais)",Inexistente ( não existem quaisquer instalações e serviços de navegação na área afetada por acidente da barragem),Não,1900-01-01,Não elaborado,1900-01-01,Não,1900-01-01,Não,0,,,Sem Informação,Sem Informação,,Sim
3,324.0,Bugres,Companhia estadual de geração de energia elétrica - ceee-g,Salto,Barragem,Normal,B,Baixo,Alto,Versão 1,Campanha 2016/1,2016-11-01,2017-01-31,2016-11-01,2017-01-31,,1951-01-01,,10.0,600.0,3,Não,0,2019-01-11 08:03:23,2017-01-31 00:00:00,Enviado Dentro do Prazo Legal,Divisa,11.4,1960-08-01,Operação,3,0.0,39881421000104.0,17620.0,100.0,UHE.PH.RS.000324-7.01,Hidrelétrica,RS,Operação,Usina Hidrelétrica,Rocha alterada sem tratramento / Rocha alterada fraturada com tratamento,Alvenaria de Pedra,(Cheia Máxima Provável) ou Decamilenar,"Casa de força associada à barragem por meio de conduto forçado, túnel, etc",Comprimento > 200m,< 5 ou > 50 anos ou sem,Altura = 15m,Existência de trincas e abatimentos  de pequena extensão e impacto nulo,Não possui eclusa,"Falhas na proteção dos taludes e paramentos, presença de arbustos de pequena extensão e impacto nulo","Umidade ou surgência nas áreas de jusante, paramentos, taludes ou ombreiras estabilizadas e/o monitoradas",Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento,Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos,Anteprojeto ou Projeto conceitual,Possui estrutura organizacional com técnico responsável pela segurança da barragem,Possui e aplica apenas procedimentos  de inspeção,Sim ou Vertedouro tipo soleira livre,Emite os relatórios sem periodicidade,Médio,Pouco frequente ,"S - significativo (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais)",Inexistente ( não existem quaisquer instalações e serviços de navegação na área afetada por acidente da barragem),Não,1900-01-01,Não elaborado,1900-01-01,Não,1900-01-01,Não,0,,,Sem Informação,Sem Informação,,Sim
4,329.0,Buricá,Cooperativa de desenvolvimento social entre rios ltda,PCH BURICÁ,Barragem,Normal,C,Baixo,Baixo,Versão 1,Campanha 2016/1,2016-11-01,2017-01-31,2016-11-01,2017-01-31,,1999-05-08,,11.5,120.0,1,Não,0,2019-01-11 08:27:12,2017-01-31 00:00:00,Enviado Dentro do Prazo Legal,Buricá,0.28,1999-02-01,Operação,1,0.0,10415935000192.0,3240.0,100.0,CGH.PH.RS.000329-8.02,Hidrelétrica,RS,Operação,Central Geradora Hidrelétrica,Rocha Sã,Alvenaria de Pedra,(Cheia Máxima Provável) ou Decamilenar,Barragem/Dique sem Casa de Força associada,Comprimento = 200m,entre 10 e 30 anos,Altura = 15m,Inexistente,Não possui eclusa,Inexistente,Percolação totalmente controlada pelo sistema de drenagem,Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento,Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos,"Projeto ""como construído",Possui estrutura organizacional com técnico responsável pela segurança da barragem,Possui e aplica procedimentos de inspeção e monitoramento,Sim ou Vertedouro tipo soleira livre,Emite os relatórios sem periodicidade,Pequeno,Pouco frequente ,"S - significativo (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais)",Inexistente ( não existem quaisquer instalações e serviços de navegação na área afetada por acidente da barragem),Não,1900-01-01,Não elaborado,1900-01-01,Não,1900-01-01,Não,0,,,Sem Informação,Sem Informação,,Não
5,635.0,Canastra,Companhia estadual de geração de energia elétrica - ceee-g,Canastra,Barragem,Normal,C,Baixo,Baixo,Versão 1,Campanha 2016/1,2016-11-01,2017-01-31,2016-11-01,2017-01-31,,1956-12-15,,26.0,179.0,1,Não,0,2019-01-11 08:03:43,2017-01-31 00:00:00,Enviado Dentro do Prazo Legal,Santa maria,0.242,1956-12-15,Operação,1,0.0,39881421000104.0,44800.0,100.0,UHE.PH.RS.000635-1.01,Hidrelétrica,RS,Operação,Usina Hidrelétrica,Rocha alterada dura com tratamento,Concreto Convencional,(Cheia Máxima Provável) ou Decamilenar,"Casa de força associada à barragem por meio de conduto forçado, túnel, etc",Comprimento = 200m,< 5 ou > 50 anos ou sem,15m < Altura < 30m,Existência de trincas e abatimentos  de pequena extensão e impacto nulo,Não possui eclusa,Inexistente,"Umidade ou surgência nas áreas de jusante, paramentos, taludes ou ombreiras estabilizadas e/o monitoradas","Estruturas civis comprometidas ou dispositivos hidroeletromecanicos com problemas identificados, com redução de capacidade de vazão e com medidas corretivas em implantação",Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos,Projeto básico,Possui estrutura organizacional com técnico responsável pela segurança da barragem,Possui e aplica apenas procedimentos  de inspeção,Sim ou Vertedouro tipo soleira livre,Emite regularmente os relatórios,Pequeno,Pouco frequente ,"S - significativo (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais)",Inexistente ( não existem quaisquer instalações e serviços de navegação na área afetada por acidente da barragem),Não,1900-01-01,Não elaborado,1900-01-01,Não,1900-01-01,Não,0,,,Sem Informação,Sem Informação,,Sim
6,654.0,Capigui,Companhia estadual de geração de energia elétrica - ceee-g,Capigui Regularização,Barragem,Normal,B,Baixo,Alto,Versão 1,Campanha 2016/1,2016-11-01,2017-01-31,2016-11-01,2017-01-31,,1933-01-01,,20.5,223.0,2,Não,0,2019-01-11 08:02:22,2017-01-31 00:00:00,Enviado Dentro do Prazo Legal,Rio capigui,58.0,1933-01-01,Operação,2,0.0,39881421000104.0,4470.0,100.0,PCH.PH.RS.000654-8.01,Hidrelétrica,RS,Operação,Pequena Central Hidrelétrica,Rocha alterada sem tratramento / Rocha alterada fraturada com tratamento,Concreto Convencional,(Cheia Máxima Provável) ou Decamilenar,Barragem/Dique sem Casa de Força associada,Comprimento > 200m,< 5 ou > 50 anos ou sem,15m < Altura < 30m,Inexistente,Não possui eclusa,"Falhas na proteção dos taludes e paramentos, presença de arbustos de pequena extensão e impacto nulo","Umidade ou surgência nas áreas de jusante, paramentos, taludes ou ombreiras sem tratamento ou em fase de diagnóstico",Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento,Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos,Projeto básico,Possui estrutura organizacional com técnico responsável pela segurança da barragem,Possui e aplica apenas procedimentos  de inspeção,Sim ou Vertedouro tipo soleira livre,Emite regularmente os relatórios,Médio,Pouco frequente ,"S - significativo (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais)",Inexistente ( não existem quaisquer instalações e serviços de navegação na área afetada por acidente da barragem),Não,1900-01-01,Não elaborado,1900-01-01,Não,1900-01-01,Não,0,,,Sem Informação,Sem Informação,,Sim
7,654.0,Capigui,Companhia estadual de geração de energia elétrica - ceee-g,Capigui Captação,Barragem,Normal,C,Baixo,Baixo,Versão 1,Campanha 2016/1,2016-11-01,2017-01-31,2016-11-01,2017-01-31,,1933-01-01,,5.2,63.6,2,Não,0,2019-01-11 08:02:22,2017-01-31 00:00:00,Enviado Dentro do Prazo Legal,Rio capigui,58.0,1933-01-01,Operação,2,0.0,39881421000104.0,4470.0,100.0,PCH.PH.RS.000654-8.01,Hidrelétrica,RS,Operação,Pequena Central Hidrelétrica,Rocha alterada sem tratramento / Rocha alterada fraturada com tratamento,Alvenaria de Pedra,,"Casa de força associada à barragem por meio de conduto forçado, túnel, etc",Comprimento = 200m,< 5 ou > 50 anos ou sem,Altura = 15m,Inexistente,Não possui eclusa,"Falhas na proteção dos taludes e paramentos, presença de arbustos de pequena extensão e impacto nulo",Percolação totalmente controlada pelo sistema de drenagem,Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento,Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos,Projeto básico,Possui estrutura organizacional com técnico responsável pela segurança da barragem,Possui e aplica apenas procedimentos  de inspeção,Sim ou Vertedouro tipo soleira livre,Emite regularmente os relatórios,Pequeno,Pouco frequente ,"S - significativo (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais)",Inexistente ( não existem quaisquer instalações e serviços de navegação na área afetada por acidente da barragem),Não,1900-01-01,Não elaborado,1900-01-01,Não,1900-01-01,Não,0,,,Sem Informação,Sem Informação,,Sim
8,706.0,Cascata do Pinheirinho,Coprel cooperativa de geração de energia e desenvolvimento,BARRAMENTO CGH PINHEIRINHO,Barragem,Normal,C,Medio,Baixo,Versão 1,Campanha 2016/1,2016-11-01,2017-01-31,2016-11-01,2017-01-31,,1948-01-02,,1.9,64.75,1,Não,0,2019-01-11 08:55:28,2017-01-31 00:00:00,Enviado Dentro do Prazo Legal,Rio pinheirinho,0.0,1948-02-01,Operação,1,0.0,8323274000123.0,895.0,100.0,CGH.PH.RS.000706-4.03,Hidrelétrica,RS,Operação,Central Geradora Hidrelétrica,Rocha Sã,Alvenaria de Pedra,Milenar,Casa de força ao pé da barragem,Comprimento = 200m,< 5 ou > 50 anos ou sem,Altura = 15m,Existência de trincas e abatimentos  de pequena extensão e impacto nulo,Não possui eclusa,Inexistente,Percolação totalmente controlada pelo sistema de drenagem,Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento,Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos,Anteprojeto ou Projeto conceitual,Possui técnico responsável pela segurança da barragem,Possui e aplica apenas procedimentos  de inspeção,Sim ou Vertedouro tipo soleira livre,Não emite os relatórios,Pequeno,Pouco frequente ,"S - significativo (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais)",Inexistente ( não existem quaisquer instalações e serviços de navegação na área afetada por acidente da barragem),Não,1900-01-01,Não elaborado,1900-01-01,Não,1900-01-01,Não,0,,,Sem Informação,Sem Informação,,Não
9,718.0,Castro Alves,Companhia energética rio das antas,Castro Alves,Barragem,Normal,B,Baixo,Alto,Versão 1,Campanha 2016/1,2016-11-01,2017-01-31,2016-11-01,2017-01-31,,2008-01-16,,50.0,340.0,1,Não,0,2019-01-11 07:33:04,2017-01-31 00:00:00,Enviado Dentro do Prazo Legal,Rio das antas,126.72,2008-02-03,Operação,1,0.0,4237975000199.0,130000.0,100.0,UHE.PH.RS.000718-8.01,Hidrelétrica,RS,Operação,Usina Hidrelétrica,Rocha Sã,Alvenaria de Pedra,(Cheia Máxima Provável) ou Decamilenar,"Casa de força associada à barragem por meio de conduto forçado, túnel, etc",Comprimento > 200m,entre 5 e 10 anos,30m = Altura = 60m,Inexistente,Não possui eclusa,Inexistente,Percolação totalmente controlada pelo sistema de drenagem,Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento,Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos,"Projeto executivo e ""como construído",Possui estrutura organizacional com técnico responsável pela segurança da barragem,Possui e aplica procedimentos de inspeção e monitoramento,Sim ou Vertedouro tipo soleira livre,Emite regularmente os relatórios,Grande,Pouco frequente ,"S - significativo (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais)",Inexistente ( não existem quaisquer instalações e serviços de navegação na área afetada por acidente da barragem),Não,1900-01-01,Não elaborado,1900-01-01,Não,1900-01-01,Não,0,,,Sem Informação,Sem Informação,,Sim
