,predicted_mean
0,152.33915813091903
1,103.02497927927831
2,109.2486514622185
3,173.2733997059657
4,120.23668882673788
5,115.39671503564709
6,121.62404949457517
7,207.67619902715333
8,135.7520143342851
9,108.56920634707208
10,114.68974548405738
11,189.73466907477086
12,127.33636268896777
13,111.34191563920092
14,117.43836779091686
15,198.05514692846697
16,130.9269038841702
17,109.32858517292617
18,115.33713138901197
19,193.21682416089817
20,128.50138080768585
21,109.68085840086866
22,115.6559054876909
23,194.95200426635768
24,129.08072629776487
25,108.88237244217567
26,114.7742442581725
27,193.42123611301704
28,128.16688732855766
29,108.62288146202522
