,data,codigo,defluencia
0,2000-01-01,19067,46.24
1,2000-01-03,19067,242.87
2,2000-01-04,19067,245.59
3,2000-01-08,19067,67.43
4,2000-01-09,19067,76.09
5,2000-01-11,19067,114.24
6,2000-01-13,19067,173.88
7,2000-01-15,19067,188.81
8,2000-01-16,19067,215.26
9,2000-01-19,19067,202.28
10,2000-01-20,19067,191.53
11,2000-01-24,19067,85.3
12,2000-01-25,19067,86.65
13,2000-01-26,19067,86.77
14,2000-01-28,19067,116.56
15,2000-01-29,19067,98.84
16,2000-01-30,19067,85.6
17,2000-01-31,19067,77.2
18,2000-02-01,19067,70.7
19,2000-02-04,19067,87.34
20,2000-02-05,19067,93.9
21,2000-02-09,19067,63.11
22,2000-02-12,19067,52.44
23,2000-02-13,19067,47.39
24,2000-02-14,19067,44.27
25,2000-02-15,19067,63.68
26,2000-02-17,19067,658.99
27,2000-02-19,19067,189.2
28,2000-02-20,19067,142.88
29,2000-02-21,19067,106.31
30,2000-02-23,19067,84.82
31,2000-02-24,19067,134.73
32,2000-02-25,19067,200.91
33,2000-02-27,19067,118.86
34,2000-02-28,19067,109.67
35,2000-03-02,19067,365.19
36,2000-03-05,19067,209.83
37,2000-03-06,19067,308.78
38,2000-03-07,19067,714.69
39,2000-03-10,19067,308.76
40,2000-03-11,19067,224.02
41,2000-03-13,19067,157.32
42,2000-03-17,19067,123.29
43,2000-03-20,19067,158.83
44,2000-03-21,19067,114.08
45,2000-03-22,19067,94.22
46,2000-03-26,19067,109.15
47,2000-03-29,19067,127.12
48,2000-03-31,19067,108.33
49,2000-04-02,19067,78.32
50,2000-04-04,19067,65.26
51,2000-04-06,19067,62.3
52,2000-04-07,19067,59.81
53,2000-04-08,19067,56.42
54,2000-04-09,19067,53.47
55,2000-04-11,19067,51.05
56,2000-04-12,19067,60.83
57,2000-04-15,19067,300.98
58,2000-04-17,19067,162.24
59,2000-04-18,19067,177.75
60,2000-04-20,19067,192.63
61,2000-04-22,19067,155.91
62,2000-04-26,19067,106.23
63,2000-04-30,19067,112.01
64,2000-05-07,19067,834.68
65,2000-05-09,19067,263.75
66,2000-05-10,19067,212.23
67,2000-05-11,19067,184.57
68,2000-05-12,19067,166.27
69,2000-05-18,19067,118.84
70,2000-05-19,19067,134.66
71,2000-05-21,19067,192.86
72,2000-05-24,19067,107.89
73,2000-05-25,19067,99.3
74,2000-05-26,19067,99.64
75,2000-05-27,19067,110.02
76,2000-05-28,19067,123.48
77,2000-05-29,19067,116.33
78,2000-05-30,19067,97.43
79,2000-05-31,19067,86.18
80,2000-06-02,19067,80.29
81,2000-06-03,19067,76.27
82,2000-06-04,19067,72.42
83,2000-06-07,19067,103.13
84,2000-06-10,19067,88.69
85,2000-06-16,19067,64.25
86,2000-06-19,19067,240.4
87,2000-06-20,19067,304.11
88,2000-06-21,19067,279.98
89,2000-06-23,19067,187.38
90,2000-06-24,19067,153.29
91,2000-06-25,19067,145.93
92,2000-06-26,19067,176.26
93,2000-06-30,19067,650.17
94,2000-07-01,19067,856.06
95,2000-07-06,19067,284.95
96,2000-07-09,19067,363.58
97,2000-07-10,19067,968.65
98,2000-07-13,19067,735.14
99,2000-07-15,19067,409.0
100,2000-07-16,19067,346.11
101,2000-07-17,19067,302.1
102,2000-07-18,19067,266.88
103,2000-07-19,19067,238.68
104,2000-07-20,19067,220.42
105,2000-07-21,19067,213.26
106,2000-07-23,19067,388.36
107,2000-07-24,19067,478.43
108,2000-07-27,19067,225.72
109,2000-07-28,19067,202.52
110,2000-07-29,19067,189.04
111,2000-07-30,19067,179.55
112,2000-07-31,19067,174.41
113,2000-08-02,19067,160.49
114,2000-08-04,19067,142.86
115,2000-08-05,19067,135.67
116,2000-08-06,19067,128.69
117,2000-08-09,19067,114.03
118,2000-08-14,19067,112.67
119,2000-08-16,19067,210.38
120,2000-08-17,19067,265.63
121,2000-08-19,19067,196.56
122,2000-08-20,19067,168.96
123,2000-08-21,19067,140.78
124,2000-08-22,19067,126.45
125,2000-08-23,19067,117.65
126,2000-08-24,19067,112.55
127,2000-08-26,19067,385.5
128,2000-08-27,19067,801.51
129,2000-08-28,19067,850.61
130,2000-08-29,19067,423.96
131,2000-08-30,19067,295.96
132,2000-09-03,19067,156.82
133,2000-09-04,19067,144.18
134,2000-09-06,19067,128.57
135,2000-09-07,19067,122.71
136,2000-09-08,19067,117.41
137,2000-09-09,19067,122.04
138,2000-09-12,19067,2036.78
139,2000-09-13,19067,2249.57
140,2000-09-14,19067,2280.88
141,2000-09-15,19067,2212.88
142,2000-09-18,19067,709.71
143,2000-09-20,19067,1171.87
144,2000-09-21,19067,788.66
145,2000-09-22,19067,721.15
146,2000-09-24,19067,1176.13
147,2000-09-25,19067,1164.81
148,2000-09-26,19067,873.43
149,2000-09-27,19067,487.27
150,2000-09-28,19067,334.66
151,2000-09-29,19067,334.13
152,2000-10-02,19067,356.33
153,2000-10-03,19067,335.78
154,2000-10-04,19067,407.41
155,2000-10-06,19067,645.28
156,2000-10-08,19067,310.47
157,2000-10-09,19067,354.9
158,2000-10-10,19067,635.46
159,2000-10-11,19067,957.75
160,2000-10-12,19067,2064.76
161,2000-10-13,19067,3673.84
162,2000-10-14,19067,3403.58
163,2000-10-18,19067,659.85
164,2000-10-19,19067,591.97
165,2000-10-25,19067,285.68
166,2000-10-26,19067,343.41
167,2000-10-29,19067,688.26
168,2000-10-30,19067,422.12
169,2000-10-31,19067,304.07
170,2000-11-05,19067,205.6
171,2000-11-06,19067,188.44
172,2000-11-07,19067,174.76
173,2000-11-08,19067,171.24
174,2000-11-09,19067,194.43
175,2000-11-10,19067,252.65
176,2000-11-13,19067,266.22
177,2000-11-16,19067,170.06
178,2000-11-17,19067,143.87
179,2000-11-18,19067,124.78
180,2000-11-19,19067,117.0
181,2000-11-22,19067,115.73
182,2000-11-23,19067,108.07
183,2000-11-24,19067,106.72
184,2000-11-25,19067,96.77
185,2000-11-29,19067,102.0
186,2000-12-01,19067,149.21
187,2000-12-03,19067,187.11
188,2000-12-11,19067,75.17
189,2000-12-12,19067,70.33
190,2000-12-13,19067,71.92
191,2000-12-14,19067,105.39
192,2000-12-22,19067,88.59
193,2000-12-23,19067,116.65
194,2000-12-26,19067,115.01
195,2000-12-27,19067,137.7
196,2000-12-28,19067,171.17
197,2000-12-29,19067,282.83
198,2001-01-06,19067,146.49
199,2001-01-07,19067,215.4
200,2001-01-09,19067,246.99
201,2001-01-11,19067,391.96
202,2001-01-13,19067,373.86
203,2001-01-14,19067,338.94
204,2001-01-15,19067,285.55
205,2001-01-16,19067,288.04
206,2001-01-18,19067,444.26
207,2001-01-20,19067,758.23
208,2001-01-21,19067,959.83
209,2001-01-22,19067,510.74
210,2001-01-26,19067,463.49
211,2001-01-27,19067,314.34
212,2001-01-29,19067,444.52
213,2001-01-30,19067,827.81
214,2001-01-31,19067,1029.28
215,2001-02-01,19067,695.63
216,2001-02-02,19067,480.94
217,2001-02-03,19067,529.63
218,2001-02-06,19067,1116.65
219,2001-02-07,19067,961.19
220,2001-02-08,19067,587.67
221,2001-02-09,19067,396.5
222,2001-02-12,19067,261.21
223,2001-02-13,19067,280.73
224,2001-02-14,19067,377.74
225,2001-02-15,19067,435.44
226,2001-02-18,19067,340.06
227,2001-02-22,19067,422.38
228,2001-02-23,19067,441.56
229,2001-02-24,19067,518.43
230,2001-02-26,19067,498.74
231,2001-02-28,19067,387.53
232,2001-03-01,19067,455.96
233,2001-03-02,19067,486.11
234,2001-03-07,19067,305.58
235,2001-03-08,19067,330.08
236,2001-03-09,19067,305.96
237,2001-03-10,19067,255.1
238,2001-03-12,19067,234.58
239,2001-03-15,19067,201.23
240,2001-03-16,19067,245.03
241,2001-03-18,19067,334.49
242,2001-03-19,19067,300.37
243,2001-03-21,19067,259.46
244,2001-03-27,19067,320.14
245,2001-03-29,19067,280.47
246,2001-03-30,19067,212.34
247,2001-03-31,19067,204.09
248,2001-04-02,19067,581.93
249,2001-04-05,19067,258.98
250,2001-04-08,19067,258.17
251,2001-04-10,19067,664.51
252,2001-04-11,19067,417.96
253,2001-04-17,19067,214.64
254,2001-04-21,19067,162.84
255,2001-04-22,19067,219.58
256,2001-04-27,19067,400.81
257,2001-04-28,19067,364.67
258,2001-04-30,19067,287.03
259,2001-05-01,19067,258.24
260,2001-05-02,19067,291.13
261,2001-05-03,19067,629.68
262,2001-05-05,19067,2306.76
263,2001-05-06,19067,1229.08
264,2001-05-07,19067,765.76
265,2001-05-08,19067,512.56
266,2001-05-09,19067,412.3
267,2001-05-10,19067,353.98
268,2001-05-11,19067,314.3
269,2001-05-12,19067,289.13
270,2001-05-13,19067,269.18
271,2001-05-14,19067,255.4
272,2001-05-15,19067,241.46
273,2001-05-16,19067,231.62
274,2001-05-18,19067,367.76
275,2001-05-19,19067,432.79
276,2001-05-20,19067,391.02
277,2001-05-22,19067,479.55
278,2001-05-24,19067,563.35
279,2001-05-27,19067,301.23
280,2001-06-01,19067,199.33
281,2001-06-03,19067,185.1
282,2001-06-06,19067,196.87
283,2001-06-08,19067,178.53
284,2001-06-11,19067,165.04
285,2001-06-12,19067,131.64
286,2001-06-13,19067,109.22
287,2001-06-14,19067,124.12
288,2001-06-21,19067,279.0
289,2001-06-22,19067,262.93
290,2001-06-23,19067,249.85
291,2001-06-24,19067,258.84
292,2001-06-25,19067,408.59
293,2001-06-27,19067,1332.24
294,2001-07-01,19067,302.11
295,2001-07-03,19067,233.96
296,2001-07-04,19067,211.04
297,2001-07-07,19067,259.31
298,2001-07-10,19067,233.76
299,2001-07-11,19067,238.45
300,2001-07-12,19067,327.43
301,2001-07-13,19067,379.06
302,2001-07-15,19067,245.36
303,2001-07-17,19067,309.19
304,2001-07-18,19067,449.24
305,2001-07-19,19067,1018.35
306,2001-07-21,19067,2081.69
307,2001-07-22,19067,2072.55
308,2001-07-27,19067,648.2
309,2001-07-28,19067,693.27
310,2001-07-30,19067,375.29
311,2001-07-31,19067,318.76
312,2001-08-01,19067,283.42
313,2001-08-04,19067,200.32
314,2001-08-05,19067,199.31
315,2001-08-06,19067,196.79
316,2001-08-09,19067,161.52
317,2001-08-13,19067,141.74
318,2001-08-16,19067,110.04
319,2001-08-17,19067,102.45
320,2001-08-20,19067,96.2
321,2001-08-23,19067,189.68
322,2001-08-24,19067,135.44
323,2001-08-25,19067,103.07
324,2001-08-26,19067,90.32
325,2001-08-28,19067,146.13
326,2001-08-29,19067,216.4
327,2001-09-01,19067,183.46
328,2001-09-04,19067,107.54
329,2001-09-06,19067,339.98
330,2001-09-09,19067,216.54
331,2001-09-10,19067,344.45
332,2001-09-12,19067,796.36
333,2001-09-14,19067,775.64
334,2001-09-15,19067,1018.72
335,2001-09-16,19067,582.94
336,2001-09-18,19067,288.37
337,2001-09-20,19067,197.99
338,2001-09-21,19067,177.84
339,2001-09-22,19067,167.76
340,2001-09-23,19067,190.24
341,2001-09-24,19067,245.25
342,2001-09-28,19067,675.12
343,2001-09-29,19067,599.49
344,2001-10-01,19067,3077.65
345,2001-10-02,19067,2948.05
346,2001-10-04,19067,1151.92
347,2001-10-06,19067,580.98
348,2001-10-10,19067,775.24
349,2001-10-15,19067,357.44
350,2001-10-16,19067,535.38
351,2001-10-17,19067,597.81
352,2001-10-20,19067,384.2
353,2001-10-24,19067,201.16
354,2001-10-26,19067,161.17
355,2001-10-27,19067,149.91
356,2001-11-02,19067,118.43
357,2001-11-03,19067,117.78
358,2001-11-07,19067,125.21
359,2001-11-08,19067,116.32
360,2001-11-09,19067,107.34
361,2001-11-10,19067,165.85
362,2001-11-13,19067,262.95
363,2001-11-14,19067,206.08
364,2001-11-17,19067,117.43
365,2001-11-19,19067,95.61
366,2001-11-21,19067,82.99
367,2001-11-22,19067,82.78
368,2001-11-23,19067,104.93
369,2001-11-24,19067,124.55
370,2001-11-25,19067,112.42
371,2001-11-26,19067,109.12
372,2001-11-27,19067,156.61
373,2001-11-30,19067,752.64
374,2001-12-04,19067,276.44
375,2001-12-05,19067,237.39
376,2001-12-07,19067,271.13
377,2001-12-08,19067,229.03
378,2001-12-10,19067,181.81
379,2001-12-13,19067,312.19
380,2001-12-14,19067,373.68
381,2001-12-15,19067,345.02
382,2001-12-17,19067,307.54
383,2001-12-18,19067,228.08
384,2001-12-19,19067,166.81
385,2001-12-21,19067,102.79
386,2001-12-24,19067,162.53
387,2001-12-27,19067,114.36
388,2001-12-30,19067,98.07
389,2001-12-31,19067,90.62
390,2002-01-02,19067,145.4
391,2002-01-03,19067,109.44
392,2002-01-04,19067,101.79
393,2002-01-06,19067,91.06
394,2002-01-08,19067,110.43
395,2002-01-09,19067,115.66
396,2002-01-10,19067,100.13
397,2002-01-15,19067,151.85
398,2002-01-16,19067,269.26
399,2002-01-18,19067,154.84
