;IdeNucleoCEG;NomUsina;NomEmpresa;NomBarramento;DscTipo;DscNivelSegurancaBarragem;IdcClassificacaoBarragens;DscCategoriaRiscoGeral;DscDanoPotencialGeral;DscVersao;NomCampanha;DatInicioCampanha;DatFimCampanha;DatInicioPrazoLegalCampanha;DatFimPrazoLegalCampanha;NomSecundario;DatConclusaoConstrucao;MdaAlturaMacicoTerreno;MdaAlturaMacicoFundacao;MdaComprimento;NumBarramento;DscExisteAcidenteIncidente;QtdAcidenteIncidente;DthCadastro;DthEnvio;DscEnvioPrazoLegal;NomRioEmpreendimento;MdaCapacidadeTotalEmp;DatPrimeiroEnchimento;DscFaseVidaEmpreendimento;QtdBarramentoEmpreendimento;MdaAreaSuperficieReservatorio;NumCnpj;MdaPotenciaImplantacao;PctParticipacaoEmpreendimento;CodCEG;NomFonteEnergia;SigEstadoUsina;DscFaseUsina;DscTipoGeracao;DscTipoFundacao;DscTipoConstrucaoBarragem;DscEstimativaVazaoProjeto;DscCasaForca;DscComprimento;DscIdadeBarragem;DscAltura;DscExisteDeformacao;DscCondicaoEclusa;DscCondicaoDeterioracao;DscPercolacao;DscConfEstruturasAducao;DscConfEstruturaExtravasora;DscExisteDocumentacaoProjeto;DscPossuiTecnicoEstrutura;DscPossuiInspecaoMonitoramento;DscRegraOperDispositivo;DscEmiteRelatorio;DscTamanhoVolumeReservatorio;DscProbabilidadeMorte;DscImpactoAmbiental;DscImpactoSocioEconomico;DscPSBElaborado;DatConclusaoPSB;DscPAEElaborado;DatConclusaoPAE;DscISRRealizada;DatConclusaoISR;DscISERealizada;QtdMunicipioAfetado;MdaVazaoVertedouro;MdaCotaCoroamentoBarramento;NomTipoEstrutural;DscTipoEstrutural;DscEstudoRompimento;DscEnquadraResolucao
0;12.0;14 de Julho ;COMPANHIA ENERGÉTICA RIO DAS ANTAS;14 de Julho;Barragem;Normal;B;BAIXO;ALTO;Versão 1;Campanha 2016/1;2016-11-01;2017-01-31;2016-11-01;2017-01-31;;2008-10-15;;42,0000;395,0000;1;Não;0;2019-01-11 07:32:57;2017-01-31 00:00:00;Enviado Dentro do Prazo Legal;Rio das Antas;92,320000;2008-10-25;Operação;1;,00;4237975000199.0;100000,00;100,00000;UHE.PH.RS.000012-4.01;Hidrelétrica;RS;Operação;Usina Hidrelétrica;Rocha Sã;Alvenaria de Pedra;(Cheia Máxima Provável) ou Decamilenar;Casa de força associada à barragem por meio de conduto forçado, túnel, etc;Comprimento > 200m;entre 5 e 10 anos;30m = Altura = 60m;Inexistente;Não possui eclusa;Inexistente;Percolação totalmente controlada pelo sistema de drenagem;Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento;Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos;"Projeto executivo e ""como construído";Possui estrutura organizacional com técnico responsável pela segurança da barragem;Possui e aplica procedimentos de inspeção e monitoramento;Sim ou Vertedouro tipo soleira livre;Emite regularmente os relatórios;Grande;EXISTENTE (existem pessoas ocupando permanentemente a área afetada a  jusante da barragem, portanto, vidas humanas poderão ser atingidas);S - SIGNIFICATIVO (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais);BAIXO ( existe pequena concentração de instalações residenciais e comerciais, agrícolas, industriais ou de infraestrutura  na área afetada da barragem ou instalações portuárias ou serviços de navegação);Não;1900-01-01;Não elaborado;1900-01-01;Não;1900-01-01;Não;0;;;Sem Informação;Sem Informação;;Sim
1;324.0;Bugres;Companhia Estadual de Geração de Energia Elétrica - CEEE-G;Divisa;Barragem;Normal;C;BAIXO;BAIXO;Versão 1;Campanha 2016/1;2016-11-01;2017-01-31;2016-11-01;2017-01-31;;1960-08-01;;27,5000;239,0000;3;Não;0;2019-01-11 08:03:23;2017-01-31 00:00:00;Enviado Dentro do Prazo Legal;Divisa;11,400000;1960-08-01;Operação;3;,00;39881421000104.0;17620,00;100,00000;UHE.PH.RS.000324-7.01;Hidrelétrica;RS;Operação;Usina Hidrelétrica;Rocha alterada dura com tratamento;Alvenaria de Pedra;(Cheia Máxima Provável) ou Decamilenar;Barragem/Dique sem Casa de Força associada;Comprimento > 200m;< 5 ou > 50 anos ou sem;15m < Altura < 30m;Existência de trincas e abatimentos  de pequena extensão e impacto nulo;Não possui eclusa;Falhas na proteção dos taludes e paramentos, presença de arbustos de pequena extensão e impacto nulo;Umidade ou surgência nas áreas de jusante, paramentos, taludes ou ombreiras estabilizadas e/o monitoradas;Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento;Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos;Projeto básico;Possui estrutura organizacional com técnico responsável pela segurança da barragem;Possui e aplica apenas procedimentos  de inspeção;Sim ou Vertedouro tipo soleira livre;Emite regularmente os relatórios;Médio;INEXISTENTE (não existem pessoas permanentes/residentes ou temporárias/transitando na área afetada a  jusante da barragem);S - SIGNIFICATIVO (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais);BAIXO ( existe pequena concentração de instalações residenciais e comerciais, agrícolas, industriais ou de infraestrutura  na área afetada da barragem ou instalações portuárias ou serviços de navegação);Não;1900-01-01;Não elaborado;1900-01-01;Não;1900-01-01;Não;0;;;Sem Informação;Sem Informação;;Sim
2;324.0;Bugres;Companhia Estadual de Geração de Energia Elétrica - CEEE-G;Blang;Barragem;Normal;B;BAIXO;ALTO;Versão 1;Campanha 2016/1;2016-11-01;2017-01-31;2016-11-01;2017-01-31;;1956-02-01;;19,3000;507,0000;3;Não;0;2019-01-11 08:03:23;2017-01-31 00:00:00;Enviado Dentro do Prazo Legal;Divisa;11,400000;1960-08-01;Operação;3;,00;39881421000104.0;17620,00;100,00000;UHE.PH.RS.000324-7.01;Hidrelétrica;RS;Operação;Usina Hidrelétrica;Rocha alterada sem tratramento / Rocha alterada fraturada com tratamento;Alvenaria de Pedra;(Cheia Máxima Provável) ou Decamilenar;Barragem/Dique sem Casa de Força associada;Comprimento > 200m;< 5 ou > 50 anos ou sem;15m < Altura < 30m;Existência de trincas e abatimentos  de pequena extensão e impacto nulo;Não possui eclusa;Inexistente;Umidade ou surgência nas áreas de jusante, paramentos, taludes ou ombreiras estabilizadas e/o monitoradas;Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento;Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos;Projeto básico;Possui estrutura organizacional com técnico responsável pela segurança da barragem;Possui e aplica apenas procedimentos  de inspeção;Sim ou Vertedouro tipo soleira livre;Emite regularmente os relatórios;Médio;EXISTENTE (existem pessoas ocupando permanentemente a área afetada a  jusante da barragem, portanto, vidas humanas poderão ser atingidas);S - SIGNIFICATIVO (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais);BAIXO ( existe pequena concentração de instalações residenciais e comerciais, agrícolas, industriais ou de infraestrutura  na área afetada da barragem ou instalações portuárias ou serviços de navegação);Não;1900-01-01;Não elaborado;1900-01-01;Não;1900-01-01;Não;0;;;Sem Informação;Sem Informação;;Sim
3;324.0;Bugres;Companhia Estadual de Geração de Energia Elétrica - CEEE-G;Salto;Barragem;Normal;B;BAIXO;ALTO;Versão 1;Campanha 2016/1;2016-11-01;2017-01-31;2016-11-01;2017-01-31;;1951-01-01;;10,0000;600,0000;3;Não;0;2019-01-11 08:03:23;2017-01-31 00:00:00;Enviado Dentro do Prazo Legal;Divisa;11,400000;1960-08-01;Operação;3;,00;39881421000104.0;17620,00;100,00000;UHE.PH.RS.000324-7.01;Hidrelétrica;RS;Operação;Usina Hidrelétrica;Rocha alterada sem tratramento / Rocha alterada fraturada com tratamento;Alvenaria de Pedra;(Cheia Máxima Provável) ou Decamilenar;Casa de força associada à barragem por meio de conduto forçado, túnel, etc;Comprimento > 200m;< 5 ou > 50 anos ou sem;Altura = 15m;Existência de trincas e abatimentos  de pequena extensão e impacto nulo;Não possui eclusa;Falhas na proteção dos taludes e paramentos, presença de arbustos de pequena extensão e impacto nulo;Umidade ou surgência nas áreas de jusante, paramentos, taludes ou ombreiras estabilizadas e/o monitoradas;Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento;Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos;Anteprojeto ou Projeto conceitual;Possui estrutura organizacional com técnico responsável pela segurança da barragem;Possui e aplica apenas procedimentos  de inspeção;Sim ou Vertedouro tipo soleira livre;Emite os relatórios sem periodicidade;Médio;EXISTENTE (existem pessoas ocupando permanentemente a área afetada a  jusante da barragem, portanto, vidas humanas poderão ser atingidas);S - SIGNIFICATIVO (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais);BAIXO ( existe pequena concentração de instalações residenciais e comerciais, agrícolas, industriais ou de infraestrutura  na área afetada da barragem ou instalações portuárias ou serviços de navegação);Não;1900-01-01;Não elaborado;1900-01-01;Não;1900-01-01;Não;0;;;Sem Informação;Sem Informação;;Sim
4;329.0;Buricá;COOPERATIVA DE DESENVOLVIMENTO SOCIAL ENTRE RIOS LTDA;PCH BURICÁ;Barragem;Normal;C;BAIXO;BAIXO;Versão 1;Campanha 2016/1;2016-11-01;2017-01-31;2016-11-01;2017-01-31;;1999-05-08;;11,5000;120,0000;1;Não;0;2019-01-11 08:27:12;2017-01-31 00:00:00;Enviado Dentro do Prazo Legal;BURICÁ;,280000;1999-02-01;Operação;1;,00;10415935000192.0;3240,00;100,00000;CGH.PH.RS.000329-8.02;Hidrelétrica;RS;Operação;Central Geradora Hidrelétrica;Rocha Sã;Alvenaria de Pedra;(Cheia Máxima Provável) ou Decamilenar;Barragem/Dique sem Casa de Força associada;Comprimento = 200m;entre 10 e 30 anos;Altura = 15m;Inexistente;Não possui eclusa;Inexistente;Percolação totalmente controlada pelo sistema de drenagem;Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento;Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos;"Projeto ""como construído";Possui estrutura organizacional com técnico responsável pela segurança da barragem;Possui e aplica procedimentos de inspeção e monitoramento;Sim ou Vertedouro tipo soleira livre;Emite os relatórios sem periodicidade;Pequeno;INEXISTENTE (não existem pessoas permanentes/residentes ou temporárias/transitando na área afetada a  jusante da barragem);S - SIGNIFICATIVO (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais);INEXISTENTE ( não existem quaisquer instalações e serviços de navegação na área afetada por acidente da barragem);Não;1900-01-01;Não elaborado;1900-01-01;Não;1900-01-01;Não;0;;;Sem Informação;Sem Informação;;Não
5;635.0;Canastra;Companhia Estadual de Geração de Energia Elétrica - CEEE-G;Canastra;Barragem;Normal;C;BAIXO;BAIXO;Versão 1;Campanha 2016/1;2016-11-01;2017-01-31;2016-11-01;2017-01-31;;1956-12-15;;26,0000;179,0000;1;Não;0;2019-01-11 08:03:43;2017-01-31 00:00:00;Enviado Dentro do Prazo Legal;Santa Maria;,242000;1956-12-15;Operação;1;,00;39881421000104.0;44800,00;100,00000;UHE.PH.RS.000635-1.01;Hidrelétrica;RS;Operação;Usina Hidrelétrica;Rocha alterada dura com tratamento;Concreto Convencional;(Cheia Máxima Provável) ou Decamilenar;Casa de força associada à barragem por meio de conduto forçado, túnel, etc;Comprimento = 200m;< 5 ou > 50 anos ou sem;15m < Altura < 30m;Existência de trincas e abatimentos  de pequena extensão e impacto nulo;Não possui eclusa;Inexistente;Umidade ou surgência nas áreas de jusante, paramentos, taludes ou ombreiras estabilizadas e/o monitoradas;Estruturas civis comprometidas ou dispositivos hidroeletromecanicos com problemas identificados, com redução de capacidade de vazão e com medidas corretivas em implantação;Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos;Projeto básico;Possui estrutura organizacional com técnico responsável pela segurança da barragem;Possui e aplica apenas procedimentos  de inspeção;Sim ou Vertedouro tipo soleira livre;Emite regularmente os relatórios;Pequeno;INEXISTENTE (não existem pessoas permanentes/residentes ou temporárias/transitando na área afetada a  jusante da barragem);S - SIGNIFICATIVO (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais);INEXISTENTE ( não existem quaisquer instalações e serviços de navegação na área afetada por acidente da barragem);Não;1900-01-01;Não elaborado;1900-01-01;Não;1900-01-01;Não;0;;;Sem Informação;Sem Informação;;Sim
6;654.0;Capigui;Companhia Estadual de Geração de Energia Elétrica - CEEE-G;Capigui Regularização;Barragem;Normal;B;BAIXO;ALTO;Versão 1;Campanha 2016/1;2016-11-01;2017-01-31;2016-11-01;2017-01-31;;1933-01-01;;20,5000;223,0000;2;Não;0;2019-01-11 08:02:22;2017-01-31 00:00:00;Enviado Dentro do Prazo Legal;Rio Capigui;58,000000;1933-01-01;Operação;2;,00;39881421000104.0;4470,00;100,00000;PCH.PH.RS.000654-8.01;Hidrelétrica;RS;Operação;Pequena Central Hidrelétrica;Rocha alterada sem tratramento / Rocha alterada fraturada com tratamento;Concreto Convencional;(Cheia Máxima Provável) ou Decamilenar;Barragem/Dique sem Casa de Força associada;Comprimento > 200m;< 5 ou > 50 anos ou sem;15m < Altura < 30m;Inexistente;Não possui eclusa;Falhas na proteção dos taludes e paramentos, presença de arbustos de pequena extensão e impacto nulo;Umidade ou surgência nas áreas de jusante, paramentos, taludes ou ombreiras sem tratamento ou em fase de diagnóstico;Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento;Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos;Projeto básico;Possui estrutura organizacional com técnico responsável pela segurança da barragem;Possui e aplica apenas procedimentos  de inspeção;Sim ou Vertedouro tipo soleira livre;Emite regularmente os relatórios;Médio;FREQUENTE  (não existem pessoas ocupando permanentemente a área afetada a jusante da barragem, mas existe rodovia municipal, estadual, federal ou outro local e/ou empreendimento de permanência eventual de pessoas que poderão ser atingidas);S - SIGNIFICATIVO (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais);BAIXO ( existe pequena concentração de instalações residenciais e comerciais, agrícolas, industriais ou de infraestrutura  na área afetada da barragem ou instalações portuárias ou serviços de navegação);Não;1900-01-01;Não elaborado;1900-01-01;Não;1900-01-01;Não;0;;;Sem Informação;Sem Informação;;Sim
7;654.0;Capigui;Companhia Estadual de Geração de Energia Elétrica - CEEE-G;Capigui Captação;Barragem;Normal;C;BAIXO;BAIXO;Versão 1;Campanha 2016/1;2016-11-01;2017-01-31;2016-11-01;2017-01-31;;1933-01-01;;5,2000;63,6000;2;Não;0;2019-01-11 08:02:22;2017-01-31 00:00:00;Enviado Dentro do Prazo Legal;Rio Capigui;58,000000;1933-01-01;Operação;2;,00;39881421000104.0;4470,00;100,00000;PCH.PH.RS.000654-8.01;Hidrelétrica;RS;Operação;Pequena Central Hidrelétrica;Rocha alterada sem tratramento / Rocha alterada fraturada com tratamento;Alvenaria de Pedra;;Casa de força associada à barragem por meio de conduto forçado, túnel, etc;Comprimento = 200m;< 5 ou > 50 anos ou sem;Altura = 15m;Inexistente;Não possui eclusa;Falhas na proteção dos taludes e paramentos, presença de arbustos de pequena extensão e impacto nulo;Percolação totalmente controlada pelo sistema de drenagem;Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento;Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos;Projeto básico;Possui estrutura organizacional com técnico responsável pela segurança da barragem;Possui e aplica apenas procedimentos  de inspeção;Sim ou Vertedouro tipo soleira livre;Emite regularmente os relatórios;Pequeno;INEXISTENTE (não existem pessoas permanentes/residentes ou temporárias/transitando na área afetada a  jusante da barragem);S - SIGNIFICATIVO (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais);INEXISTENTE ( não existem quaisquer instalações e serviços de navegação na área afetada por acidente da barragem);Não;1900-01-01;Não elaborado;1900-01-01;Não;1900-01-01;Não;0;;;Sem Informação;Sem Informação;;Sim
8;706.0;Cascata do Pinheirinho;COPREL Cooperativa de Geração de Energia e Desenvolvimento;BARRAMENTO CGH PINHEIRINHO;Barragem;Normal;C;MEDIO;BAIXO;Versão 1;Campanha 2016/1;2016-11-01;2017-01-31;2016-11-01;2017-01-31;;1948-01-02;;1,9000;64,7500;1;Não;0;2019-01-11 08:55:28;2017-01-31 00:00:00;Enviado Dentro do Prazo Legal;RIO PINHEIRINHO;,000000;1948-02-01;Operação;1;,00;8323274000123.0;895,00;100,00000;CGH.PH.RS.000706-4.03;Hidrelétrica;RS;Operação;Central Geradora Hidrelétrica;Rocha Sã;Alvenaria de Pedra;Milenar;Casa de força ao pé da barragem;Comprimento = 200m;< 5 ou > 50 anos ou sem;Altura = 15m;Existência de trincas e abatimentos  de pequena extensão e impacto nulo;Não possui eclusa;Inexistente;Percolação totalmente controlada pelo sistema de drenagem;Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento;Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos;Anteprojeto ou Projeto conceitual;Possui técnico responsável pela segurança da barragem;Possui e aplica apenas procedimentos  de inspeção;Sim ou Vertedouro tipo soleira livre;Não emite os relatórios;Pequeno;INEXISTENTE (não existem pessoas permanentes/residentes ou temporárias/transitando na área afetada a  jusante da barragem);S - SIGNIFICATIVO (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais);INEXISTENTE ( não existem quaisquer instalações e serviços de navegação na área afetada por acidente da barragem);Não;1900-01-01;Não elaborado;1900-01-01;Não;1900-01-01;Não;0;;;Sem Informação;Sem Informação;;Não
9;718.0;Castro Alves;COMPANHIA ENERGÉTICA RIO DAS ANTAS;Castro Alves;Barragem;Normal;B;BAIXO;ALTO;Versão 1;Campanha 2016/1;2016-11-01;2017-01-31;2016-11-01;2017-01-31;;2008-01-16;;50,0000;340,0000;1;Não;0;2019-01-11 07:33:04;2017-01-31 00:00:00;Enviado Dentro do Prazo Legal;Rio das Antas;126,720000;2008-02-03;Operação;1;,00;4237975000199.0;130000,00;100,00000;UHE.PH.RS.000718-8.01;Hidrelétrica;RS;Operação;Usina Hidrelétrica;Rocha Sã;Alvenaria de Pedra;(Cheia Máxima Provável) ou Decamilenar;Casa de força associada à barragem por meio de conduto forçado, túnel, etc;Comprimento > 200m;entre 5 e 10 anos;30m = Altura = 60m;Inexistente;Não possui eclusa;Inexistente;Percolação totalmente controlada pelo sistema de drenagem;Estruturas civis e disposiivos hidroeletromecanicos  em condições adequadas de manutenção e funcionamento;Estruturas civis e hidroeletromecânicas em pleno funcionamento / canais de aproximação ou de restituição ou vertedouro (tipo soleira livre) desobstruídos;"Projeto executivo e ""como construído";Possui estrutura organizacional com técnico responsável pela segurança da barragem;Possui e aplica procedimentos de inspeção e monitoramento;Sim ou Vertedouro tipo soleira livre;Emite regularmente os relatórios;Grande;FREQUENTE  (não existem pessoas ocupando permanentemente a área afetada a jusante da barragem, mas existe rodovia municipal, estadual, federal ou outro local e/ou empreendimento de permanência eventual de pessoas que poderão ser atingidas);S - SIGNIFICATIVO (área afetada da barragem não representa área de interesse ambiental, áreas protegidas em legislação específica ou encontra-se totalmente descaracterizada de suas condições naturais);BAIXO ( existe pequena concentração de instalações residenciais e comerciais, agrícolas, industriais ou de infraestrutura  na área afetada da barragem ou instalações portuárias ou serviços de navegação);Não;1900-01-01;Não elaborado;1900-01-01;Não;1900-01-01;Não;0;;;Sem Informação;Sem Informação;;Sim
